T04,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
21,Northern America,2000,"Seats held by women in national parliament, as of February (%)",,,16.3043,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2005,"Seats held by women in national parliament, as of February (%)",,,17.4966,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2010,"Seats held by women in national parliament, as of February (%)",,,18.9771,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2015,"Seats held by women in national parliament, as of February (%)",,,21.7568,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2016,"Seats held by women in national parliament, as of February (%)",,,22.2798,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2017,"Seats held by women in national parliament, as of February (%)",,,22.2078,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2018,"Seats held by women in national parliament, as of February (%)",,,22.7865,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2019,"Seats held by women in national parliament, as of February (%)",,,25.0326,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
21,Northern America,2020,"Seats held by women in national parliament, as of February (%)",,,25.8778,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,15.1846,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,19.0095,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,22.7013,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,27.3829,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2016,"Seats held by women in national parliament, as of February (%)",,,28.1991,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2017,"Seats held by women in national parliament, as of February (%)",,,29.4076,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,29.5213,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,31.5839,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
419,Latin America & the Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,32.0936,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2000,"Seats held by women in national parliament, as of February (%)",,,20.5909,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2005,"Seats held by women in national parliament, as of February (%)",,,25.9752,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2010,"Seats held by women in national parliament, as of February (%)",,,29.4068,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2015,"Seats held by women in national parliament, as of February (%)",,,33.1081,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2016,"Seats held by women in national parliament, as of February (%)",,,33.0229,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2017,"Seats held by women in national parliament, as of February (%)",,,33.8005,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2018,"Seats held by women in national parliament, as of February (%)",,,33.7449,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2019,"Seats held by women in national parliament, as of February (%)",,,36.0927,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
29,Caribbean,2020,"Seats held by women in national parliament, as of February (%)",,,36.675,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2000,"Seats held by women in national parliament, as of February (%)",,,14.3123,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2005,"Seats held by women in national parliament, as of February (%)",,,17.3913,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2010,"Seats held by women in national parliament, as of February (%)",,,21.5686,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2015,"Seats held by women in national parliament, as of February (%)",,,30.1444,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2016,"Seats held by women in national parliament, as of February (%)",,,32.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2017,"Seats held by women in national parliament, as of February (%)",,,33.066,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2018,"Seats held by women in national parliament, as of February (%)",,,32.5312,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2019,"Seats held by women in national parliament, as of February (%)",,,36.2745,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
13,Central America,2020,"Seats held by women in national parliament, as of February (%)",,,36.9313,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2000,"Seats held by women in national parliament, as of February (%)",,,12.5325,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2005,"Seats held by women in national parliament, as of February (%)",,,15.7725,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2010,"Seats held by women in national parliament, as of February (%)",,,19.1983,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2015,"Seats held by women in national parliament, as of February (%)",,,22.2454,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2016,"Seats held by women in national parliament, as of February (%)",,,22.7202,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2017,"Seats held by women in national parliament, as of February (%)",,,24.4919,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2018,"Seats held by women in national parliament, as of February (%)",,,24.7916,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2019,"Seats held by women in national parliament, as of February (%)",,,26.1114,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
5,South America,2020,"Seats held by women in national parliament, as of February (%)",,,26.5202,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.0766,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2005,"Seats held by women in national parliament, as of February (%)",,,13.3108,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2010,"Seats held by women in national parliament, as of February (%)",,,16.8335,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8047,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2016,"Seats held by women in national parliament, as of February (%)",,,17.9493,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2017,"Seats held by women in national parliament, as of February (%)",,,18.4092,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2018,"Seats held by women in national parliament, as of February (%)",,,17.9048,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2019,"Seats held by women in national parliament, as of February (%)",,,18.7629,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
142,Asia,2020,"Seats held by women in national parliament, as of February (%)",,,19.4874,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2000,"Seats held by women in national parliament, as of February (%)",,,7.0064,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2005,"Seats held by women in national parliament, as of February (%)",,,11.6216,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2010,"Seats held by women in national parliament, as of February (%)",,,20,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2015,"Seats held by women in national parliament, as of February (%)",,,21.7857,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2016,"Seats held by women in national parliament, as of February (%)",,,21.0993,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2017,"Seats held by women in national parliament, as of February (%)",,,21.2766,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2018,"Seats held by women in national parliament, as of February (%)",,,21.2766,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.0993,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
143,Central Asia,2020,"Seats held by women in national parliament, as of February (%)",,,25.3546,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,18.2339,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,18.1215,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.6575,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,20.3782,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,20.3691,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",,,20.4814,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,20.9344,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,21.4492,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
30,Eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,21.6415,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,12.3367,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,15.534,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,19.2786,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.8393,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,18.3039,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2017,"Seats held by women in national parliament, as of February (%)",,,19.3453,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2018,"Seats held by women in national parliament, as of February (%)",,,19.1474,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2019,"Seats held by women in national parliament, as of February (%)",,,19.6093,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
35,South-eastern Asia,2020,"Seats held by women in national parliament, as of February (%)",,,20.4401,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
34,Southern Asia,2000,"Seats held by women in national parliament, as of February (%)",,,6.84,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
34,Southern Asia,2005,"Seats held by women in national parliament, as of February (%)",,,8.7895,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
34,Southern Asia,2010,"Seats held by women in national parliament, as of February (%)",,,18.2019,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
34,Southern Asia,2015,"Seats held by women in national parliament, as of February (%)",,,17.6449,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
34,Southern Asia,2016,"Seats held by women in national parliament, as of February (%)",,,17.6686,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
